 ,,,,,,
"PRECIOS MÁXIMOS AL PÚBLICO APLICABLES A LAS GASOLINAS Y EL DIÉSEL EN LAS REGIONES QUE SE INDICAN, CORRESPONDIENTES AL PERIODO COMPRENDIDO DEL 7 AL 9 DE OCTUBRE DE 2017",,,,,,
NO. DE REGIÓN,REGIÓN,ESTADO(S),MUNICIPIO(S) Y/O ZONA METROPOLITANA,PRECIOS MÁXIMOS AL PÚBLICO,,
,,,,GASOLINA MENOR A 92 OCTANOS,GASOLINA  MAYOR O IGUAL A 92 OCTANOS,DIÉSEL
,,,COQUIMATLAN,$16.22,$17.92,$17.08
,,,VILLA DE ALVAREZ,$16.22,$17.92,$17.08
11,CUAUTLA,PUEBLA,TEHUITZINGO,$15.96,$17.67,$16.82
,,,TECOMATLAN,$15.96,$17.67,$16.82
,,,IZUCAR DE MATAMOROS,$15.96,$17.67,$16.82
,,,CHIETLA,$15.96,$17.67,$16.82
,,,EPATLAN,$15.96,$17.67,$16.82
,,,TILAPA,$15.96,$17.67,$16.82
,,MORELOS,AXOCHIAPAN,$15.96,$17.67,$16.82
,,,TETELA DEL VOLCAN,$15.96,$17.67,$16.82
,,,TOTOLAPAN,$15.96,$17.67,$16.82
,,,TLAYACAPAN,$15.96,$17.67,$16.82
,,,TEPALCINGO,$15.96,$17.67,$16.82
,,,YECAPIXTLA,$15.96,$17.67,$16.82
,,,YAUTEPEC,$15.96,$17.67,$16.82
,,,AYALA,$15.96,$17.67,$16.82
,,,JANTETELCO,$15.96,$17.67,$16.82
,,,ATLATLAHUCAN,$15.96,$17.67,$16.82
,,,CUAUTLA,$15.96,$17.67,$16.82
,,,JONACATEPEC DE LEANDRO VALLE,$15.96,$17.67,$16.82
,,,TEMOAC,$15.96,$17.67,$16.82
,,ESTADO DE MÉXICO,TEPETLIXPA,$15.96,$17.67,$16.82
12,CUERNAVACA,MORELOS,AMACUZAC,$16.00,$17.73,$16.88
,,,MAZATEPEC,$16.00,$17.73,$16.88
